station_name,month,day_of_week,holiday,time_type,malfunction_cause,malfunction_cause_group,rain_bins,wind_bins,temp_bins,duration_30min_intervals
Baarn,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Den Dolder,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Soestdijk,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Soest,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Soest Zuid,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Utrecht Centraal,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Utrecht Overvecht,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,e
Boskoop,April,Tuesday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,warm,e
Gouda,April,Tuesday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,warm,e
Waddinxveen,April,Tuesday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,warm,e
Waddinxveen Noord,April,Tuesday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,warm,e
Boskoop Snijdelwijk,April,Tuesday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,warm,e
Waddinxveen Triangel,April,Tuesday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,warm,e
Den Dolder,April,Tuesday,nonholiday,off-peak,stranded train,rolling stock,low,high,warm,a
Soest,April,Tuesday,nonholiday,off-peak,stranded train,rolling stock,low,high,warm,a
Soest Zuid,April,Tuesday,nonholiday,off-peak,stranded train,rolling stock,low,high,warm,a
Eindhoven Centraal,April,Wednesday,nonholiday,off-peak,signalling and points failure,infrastructure,low,medium,warm,c
Amsterdam Lelylaan,April,Wednesday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,warm,b
Amsterdam Sloterdijk,April,Wednesday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,warm,b
Rotterdam Centraal,April,Wednesday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,warm,a
Schiphol Airport,April,Wednesday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,warm,a
Schiphol Airport,April,Wednesday,nonholiday,off-peak,signal failure,infrastructure,low,medium,warm,a
Groningen,April,Wednesday,nonholiday,off-peak,signal failure,infrastructure,low,medium,warm,b
Zuidhorn,April,Wednesday,nonholiday,off-peak,signal failure,infrastructure,low,medium,warm,b
's-Hertogenbosch,April,Wednesday,nonholiday,peak,points failure,infrastructure,low,medium,warm,a
Best,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,b
Boxtel,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,b
Eindhoven Centraal,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,b
's-Hertogenbosch,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,b
Vught,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,b
Eindhoven Strijp-S,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,b
Amsterdam Centraal,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Amsterdam Lelylaan,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Amsterdam Sloterdijk,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Rotterdam Centraal,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Schiphol Airport,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Amsterdam Centraal,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Amsterdam Lelylaan,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Amsterdam Sloterdijk,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Rotterdam Centraal,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Schiphol Airport,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Rotterdam Centraal,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,h
Schiphol Airport,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,h
Amersfoort Centraal,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,f
Baarn,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,f
Amersfoort Centraal,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Amsterdam Centraal,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Amsterdam Muiderpoort,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Amsterdam Science Park,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Baarn,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Bussum Zuid,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Diemen,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Hilversum,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Naarden-Bussum,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Weesp,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Hilversum Media Park,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,e
Amersfoort Centraal,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,f
Amersfoort Schothorst,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,f
Amersfoort Vathorst,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,f
Capelle Schollevaar,April,Wednesday,nonholiday,off-peak,broken down train,rolling stock,low,medium,warm,b
Gouda,April,Wednesday,nonholiday,off-peak,broken down train,rolling stock,low,medium,warm,b
Nieuwerkerk a/d IJssel,April,Wednesday,nonholiday,off-peak,broken down train,rolling stock,low,medium,warm,b
Rotterdam Alexander,April,Wednesday,nonholiday,off-peak,broken down train,rolling stock,low,medium,warm,b
Rotterdam Centraal,April,Wednesday,nonholiday,off-peak,broken down train,rolling stock,low,medium,warm,b
Rotterdam Noord,April,Wednesday,nonholiday,off-peak,broken down train,rolling stock,low,medium,warm,b
Kaldenkirchen,April,Wednesday,nonholiday,peak,collision,accidents,low,medium,warm,e
Venlo,April,Wednesday,nonholiday,peak,collision,accidents,low,medium,warm,e
Schiphol Airport,April,Wednesday,nonholiday,off-peak,stranded train,rolling stock,low,medium,warm,c
Blerick,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,g
Venlo,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,g
Venray,April,Wednesday,nonholiday,off-peak,person hit by a train,accidents,low,medium,warm,g
Deurne,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,a
Horst-Sevenum,April,Wednesday,nonholiday,off-peak,points failure,infrastructure,low,medium,warm,a
Breda,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,a
Gilze-Rijen,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,a
De Vink,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Den Haag Centraal,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Den Haag Mariahoeve,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Den Haag Laan v NOI,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Leiden Centraal,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Voorschoten,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Heemstede-Aerdenhout,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Hillegom,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Haarlem,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Leiden Centraal,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Voorhout,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,d
Alphen a/d Rijn,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,e
Leiden Lammenschans,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,e
Alphen a/d Rijn,April,Thursday,nonholiday,peak,an earlier disruption,logistical,low,high,hot,b
Leiden Lammenschans,April,Thursday,nonholiday,peak,an earlier disruption,logistical,low,high,hot,b
Nijmegen,April,Thursday,nonholiday,peak,person on the railway track,external,low,high,hot,b
Nijmegen Dukenburg,April,Thursday,nonholiday,peak,person on the railway track,external,low,high,hot,b
Wijchen,April,Thursday,nonholiday,peak,person on the railway track,external,low,high,hot,b
Nijmegen Goffert,April,Thursday,nonholiday,peak,person on the railway track,external,low,high,hot,b
Schiphol Airport,April,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,high,hot,a
Heerlen Woonboulevard,April,Thursday,nonholiday,off-peak,lineside fire,external,low,high,hot,a
Voerendaal,April,Thursday,nonholiday,off-peak,lineside fire,external,low,high,hot,a
Almere Centrum,April,Thursday,nonholiday,off-peak,repair works,engineering work,low,high,hot,c
Almere Muziekwijk,April,Thursday,nonholiday,off-peak,repair works,engineering work,low,high,hot,c
Weesp,April,Thursday,nonholiday,off-peak,repair works,engineering work,low,high,hot,c
Almere Poort,April,Thursday,nonholiday,off-peak,repair works,engineering work,low,high,hot,c
Geleen Oost,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Hoensbroek,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Heerlen,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Nuth,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Spaubeek,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Schinnen,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Sittard,April,Thursday,nonholiday,off-peak,level crossing failure,infrastructure,low,high,hot,a
Delft,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Delft Campus,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Den Haag HS,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Den Haag Centraal,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Den Haag Moerwijk,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Rijswijk,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Rotterdam Centraal,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Schiedam Centrum,April,Friday,holiday,off-peak,stranded train,rolling stock,low,medium,hot,b
Alkmaar,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Amsterdam Centraal,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Amsterdam Sloterdijk,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Castricum,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Heiloo,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Krommenie-Assendelft,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Uitgeest,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Wormerveer,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Zaandam,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Koog aan de Zaan,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Zaandijk Zaanse Schans,April,Friday,holiday,off-peak,broken down train,rolling stock,low,medium,hot,b
Alphen a/d Rijn,April,Friday,holiday,off-peak,points failure,infrastructure,low,medium,hot,c
Leiden Lammenschans,April,Friday,holiday,off-peak,points failure,infrastructure,low,medium,hot,c
Breda,April,Friday,holiday,peak,an emergency call,external,low,medium,hot,b
Gilze-Rijen,April,Friday,holiday,peak,an emergency call,external,low,medium,hot,b
Tilburg,April,Friday,holiday,peak,an emergency call,external,low,medium,hot,b
Tilburg Reeshof,April,Friday,holiday,peak,an emergency call,external,low,medium,hot,b
Tilburg Universiteit,April,Friday,holiday,peak,an emergency call,external,low,medium,hot,b
Blerick,April,Friday,holiday,peak,points failure,infrastructure,low,medium,hot,c
Horst-Sevenum,April,Friday,holiday,peak,points failure,infrastructure,low,medium,hot,c
Venlo,April,Friday,holiday,peak,points failure,infrastructure,low,medium,hot,c
Alphen a/d Rijn,April,Friday,holiday,peak,points failure,infrastructure,low,medium,hot,f
Leiden Lammenschans,April,Friday,holiday,peak,points failure,infrastructure,low,medium,hot,f
't Harde,April,Friday,holiday,peak,broken down train,rolling stock,low,medium,hot,a
Wezep,April,Friday,holiday,peak,broken down train,rolling stock,low,medium,hot,a
Zwolle,April,Friday,holiday,peak,broken down train,rolling stock,low,medium,hot,a
Alphen a/d Rijn,April,Saturday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,hot,d
Leiden Lammenschans,April,Saturday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,hot,d
Leiden Centraal,April,Saturday,nonholiday,off-peak,over-running engineering works,engineering work,low,medium,hot,d
Amersfoort Centraal,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Amersfoort Schothorst,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Amersfoort Vathorst,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Ermelo,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Harderwijk,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
't Harde,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Nijkerk,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Nunspeet,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Putten,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Wezep,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Zwolle,April,Saturday,nonholiday,off-peak,collision,accidents,low,medium,hot,a
Zwolle,April,Saturday,nonholiday,off-peak,power failure,infrastructure,low,medium,hot,a
Boxmeer,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,a
Cuijk,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,a
Arnhem Centraal,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,a
Ede-Wageningen,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,a
Oosterbeek,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,a
Wolfheze,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,a
Lichtenvoorde-Groenlo,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,f
Winterswijk West,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,f
Best,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Boxtel,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Eindhoven Centraal,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Eindhoven Strijp-S,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Arnhem Centraal,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Ede-Wageningen,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Oosterbeek,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Wolfheze,April,Saturday,nonholiday,off-peak,lineside fire,external,low,medium,hot,c
Boxmeer,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Blerick,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Cuijk,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Mook Molenhoek,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Nijmegen,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Nijmegen Heyendaal,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Venlo,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Vierlingsbeek,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Venray,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Abcoude,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Amsterdam Amstel,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Amsterdam Bijlmer ArenA,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Amsterdam Centraal,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Amsterdam Muiderpoort,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Amsterdam Holendrecht,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Breukelen,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Duivendrecht,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Maarssen,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Utrecht Centraal,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Utrecht Zuilen,April,Saturday,nonholiday,off-peak,disruption elsewhere,logistical,low,medium,hot,c
Breda,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Barendrecht,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Rotterdam Lombardijen,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Rotterdam Centraal,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Zwijndrecht,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Delft,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Delft Campus,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Den Haag HS,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Den Haag Centraal,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Den Haag Moerwijk,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Rijswijk,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Rotterdam Centraal,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Schiedam Centrum,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Amsterdam Centraal,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Amsterdam Lelylaan,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Amsterdam Sloterdijk,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Antwerpen-Centraal,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Rotterdam Centraal,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Schiphol Airport,April,Sunday,holiday,off-peak,problem in a tunnel,infrastructure,low,low,warm,b
Alkmaar,April,Sunday,holiday,off-peak,deployment of the fire department,external,low,low,warm,a
Castricum,April,Sunday,holiday,off-peak,deployment of the fire department,external,low,low,warm,a
Heiloo,April,Sunday,holiday,off-peak,deployment of the fire department,external,low,low,warm,a
Uitgeest,April,Sunday,holiday,off-peak,deployment of the fire department,external,low,low,warm,a
Bussum Zuid,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,h
Hilversum,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,h
Naarden-Bussum,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,h
Hilversum Media Park,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,h
Bussum Zuid,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,g
Hilversum,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,g
Hilversum Media Park,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,g
Amersfoort Centraal,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Amsterdam Centraal,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Amsterdam Muiderpoort,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Amsterdam Science Park,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Baarn,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Bussum Zuid,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Diemen,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Hilversum,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Naarden-Bussum,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Weesp,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Hilversum Media Park,April,Sunday,holiday,off-peak,signal failure,infrastructure,low,low,warm,e
Heerhugowaard,April,Monday,holiday,peak,damaged overhead wires,infrastructure,low,high,warm,d
Schagen,April,Monday,holiday,peak,damaged overhead wires,infrastructure,low,high,warm,d
Amsterdam Centraal,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,f
Culemborg,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Geldermalsen,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
's-Hertogenbosch,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Houten,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Houten Castellum,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Utrecht Centraal,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Zaltbommel,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Utrecht Lunetten,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Utrecht Vaartsche Rijn,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,a
Bunnik,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Driebergen-Zeist,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Maarn,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Utrecht Centraal,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Veenendaal Centrum,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Veenendaal West,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Utrecht Vaartsche Rijn,April,Monday,holiday,off-peak,large signalling and points failure,infrastructure,low,high,warm,b
Amsterdam Centraal,April,Monday,holiday,off-peak,signal failure,infrastructure,low,high,warm,c
Heemstede-Aerdenhout,April,Monday,holiday,off-peak,broken down train,rolling stock,low,high,warm,b
Hillegom,April,Monday,holiday,off-peak,broken down train,rolling stock,low,high,warm,b
Haarlem,April,Monday,holiday,off-peak,broken down train,rolling stock,low,high,warm,b
Leiden Centraal,April,Monday,holiday,off-peak,broken down train,rolling stock,low,high,warm,b
Voorhout,April,Monday,holiday,off-peak,broken down train,rolling stock,low,high,warm,b
Eygelshoven Markt,April,Monday,holiday,off-peak,problems with the rolling stock,rolling stock,low,high,warm,e
Heerlen,April,Monday,holiday,off-peak,problems with the rolling stock,rolling stock,low,high,warm,e
Landgraaf,April,Monday,holiday,off-peak,problems with the rolling stock,rolling stock,low,high,warm,e
Boxtel,April,Monday,holiday,off-peak,person on the railway track,external,low,high,warm,b
Oisterwijk,April,Monday,holiday,off-peak,person on the railway track,external,low,high,warm,b
Tilburg,April,Monday,holiday,off-peak,person on the railway track,external,low,high,warm,b
Breukelen,April,Monday,holiday,off-peak,disruption elsewhere,logistical,low,high,warm,b
Maarssen,April,Monday,holiday,off-peak,disruption elsewhere,logistical,low,high,warm,b
Utrecht Centraal,April,Monday,holiday,off-peak,disruption elsewhere,logistical,low,high,warm,b
Utrecht Zuilen,April,Monday,holiday,off-peak,disruption elsewhere,logistical,low,high,warm,b
Arnemuiden,April,Tuesday,nonholiday,off-peak,person hit by a train,accidents,low,high,warm,h
Goes,April,Tuesday,nonholiday,off-peak,person hit by a train,accidents,low,high,warm,h
Middelburg,April,Tuesday,nonholiday,off-peak,person hit by a train,accidents,low,high,warm,h
Deventer,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Deventer Colmschate,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Holten,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Rijssen,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Deventer,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Deventer Colmschate,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Holten,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Rijssen,April,Tuesday,nonholiday,off-peak,damaged railway bridge,accidents,low,high,warm,b
Buitenpost,April,Tuesday,nonholiday,off-peak,stranded train,rolling stock,low,high,warm,c
Grijpskerk,April,Tuesday,nonholiday,off-peak,stranded train,rolling stock,low,high,warm,c
Zuidhorn,April,Tuesday,nonholiday,off-peak,stranded train,rolling stock,low,high,warm,c
Meppel,April,Tuesday,nonholiday,off-peak,damaged railway bridge,infrastructure,low,high,warm,c
Steenwijk,April,Tuesday,nonholiday,off-peak,damaged railway bridge,infrastructure,low,high,warm,c
Utrecht Centraal,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,d
Utrecht Terwijde,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,d
Vleuten,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,d
Woerden,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,d
Utrecht Leidsche Rijn,April,Tuesday,nonholiday,peak,points failure,infrastructure,low,high,warm,d
Breda,April,Tuesday,nonholiday,off-peak,person hit by a train,accidents,low,high,warm,h
Gilze-Rijen,April,Tuesday,nonholiday,off-peak,person hit by a train,accidents,low,high,warm,h
Nijmegen,April,Tuesday,nonholiday,off-peak,broken down train,rolling stock,low,high,warm,a
Nijmegen Dukenburg,April,Tuesday,nonholiday,off-peak,broken down train,rolling stock,low,high,warm,a
Oss,April,Tuesday,nonholiday,off-peak,broken down train,rolling stock,low,high,warm,a
Ravenstein,April,Tuesday,nonholiday,off-peak,broken down train,rolling stock,low,high,warm,a
Wijchen,April,Tuesday,nonholiday,off-peak,broken down train,rolling stock,low,high,warm,a
Nijmegen Goffert,April,Tuesday,nonholiday,off-peak,broken down train,rolling stock,low,high,warm,a
Delft,April,Wednesday,nonholiday,peak,signal failure,infrastructure,high,high,hot,e
